_id,content_id,content_type,content_name,content_string
266,c71a5db7-503f-40c2-a14b-de59c1b6171b,2,int-chunk-progress,0
267,c71a5db7-503f-40c2-a14b-de59c1b6171b,2,file-url,https://platform.kik.com/content/files/c71a5db7-503f-40c2-a14b-de59c1b6171b?k=027b2751410561df9d8e718a59257ce569177074
268,c71a5db7-503f-40c2-a14b-de59c1b6171b,5,sha1-scaled,C221D46B8AA696B4F08BCBF868F0753288A74FF7
269,c71a5db7-503f-40c2-a14b-de59c1b6171b,5,blockhash-scaled,00601FF81FF81DF8043E0CFE0CFC0CFC09BC093C1B3D3E3904380FF80FF81FF0
270,c71a5db7-503f-40c2-a14b-de59c1b6171b,5,sha1-original,E81DAA3E0ADE05CDB7B4587D10B110C5CC6BFFD8
271,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,3,preview,461dd0cacc656c86e7af9ab0bddc381b
272,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,3,icon,59c3951061454f1df4663ff0720223c0
273,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,2,app-name,Gallery
274,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,2,allow-forward,true
275,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,2,disallow-save,false
276,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,2,file-name,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6.jpg
277,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,2,file-size,101409
278,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,2,int-file-url-local,/data/data/kik.blue/files/staging/large/1e6b87d8-a7d0-42c2-8301-f3dba20f63d6.jpg
279,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,2,int-file-state,1
280,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,2,int-chunk-progress,0
281,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,2,file-url,https://platform.kik.com/content/files/1e6b87d8-a7d0-42c2-8301-f3dba20f63d6?k=8425da93685688494bd50357597581b2573374c4
282,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,5,sha1-scaled,C221D46B8AA696B4F08BCBF868F0753288A74FF7
283,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,5,blockhash-scaled,00601FF81FF81DF8043E0CFE0CFC0CFC09BC093C1B3D3E3904380FF80FF81FF0
284,1e6b87d8-a7d0-42c2-8301-f3dba20f63d6,5,sha1-original,E81DAA3E0ADE05CDB7B4587D10B110C5CC6BFFD8
285,,,,
286,,,,
287,,,,
