_id,content_id,priority,platform,content_uri,type,byline,file_content_type
51,0ac57997-90e2-4001-a69d-19b5422cbb33,1,cards,http://google.com,,,
52,0ac57997-90e2-4001-a69d-19b5422cbb33,11,,http://google.com,,,
53,b7cf10e7-f4c3-4207-bde2-63bf6ea7f39a,1,cards,http://google.com,,,
54,b7cf10e7-f4c3-4207-bde2-63bf6ea7f39a,11,,http://google.com,,,
55,dc4e99f8-f55f-454d-9cdd-b89f212b79d9,1,cards,http://google.com,,,
56,dc4e99f8-f55f-454d-9cdd-b89f212b79d9,11,,http://google.com,,,
57,82502bf1-daac-45f0-b1f9-e2fdb1d9d1ad,1,cards,http://google.com,,,
58,1d157673-ed4b-4fff-a8c6-67a0ce4fc7b5,1,cards,http://google.com,,,
59,1d157673-ed4b-4fff-a8c6-67a0ce4fc7b5,11,,http://google.com,,,
60,2b2ac5e9-714b-4960-9946-d00eb0903b17,0,,http://google.com,,,
61,cc38681d-2c0d-4341-be66-d350230e7017,0,,https://media.riffsy.com/videos/fbdf1abaf931dc1177610cb4af44f8ba/mp4,video,,video/mp4
62,cc38681d-2c0d-4341-be66-d350230e7017,1,,https://media.riffsy.com/videos/46a5724ad6b2961dc7fb03981db87e96/webm,video,,video/webm
63,cc38681d-2c0d-4341-be66-d350230e7017,0,,https://media.riffsy.com/videos/897c7a089aca1437a95dca6be618f286/mp4,video,,video/tinymp4
64,cc38681d-2c0d-4341-be66-d350230e7017,1,,https://media.riffsy.com/videos/84ae1280752be6886843d952ca0e97c8/webm,video,,video/tinywebm
65,cc38681d-2c0d-4341-be66-d350230e7017,0,,https://media.riffsy.com/videos/0f3cb1cf40b931093a682767bf0f285e/mp4,video,,video/nanomp4
66,cc38681d-2c0d-4341-be66-d350230e7017,1,,https://media.riffsy.com/videos/2b3706a0a93ea55eb3adcef2de2e603b/webm,video,,video/nanowebm
